Date,Open,High,Low,Close,Adj Close,Volume
30-08-23,"₹ 44,706.55","₹ 44,779.65","₹ 44,149.80","₹ 44,232.60","₹ 44,232.60",153100
31-08-23,"₹ 44,265.85","₹ 44,399.65","₹ 43,895.05","₹ 43,989.15","₹ 43,989.15",705100
01-09-23,"₹ 43,996.10","₹ 44,568.55","₹ 43,830.75","₹ 44,436.10","₹ 44,436.10",320800
04-09-23,"₹ 44,647.65","₹ 44,656.05","₹ 44,310.95","₹ 44,578.30","₹ 44,578.30",0
05-09-23,"₹ 44,625.05","₹ 44,668.70","₹ 44,401.70","₹ 44,532.15","₹ 44,532.15",225500
06-09-23,"₹ 44,494.65","₹ 44,577.00","₹ 44,207.25","₹ 44,409.10","₹ 44,409.10",252000
07-09-23,"₹ 44,418.05","₹ 44,915.55","₹ 44,341.20","₹ 44,878.35","₹ 44,878.35",169100
08-09-23,"₹ 44,953.65","₹ 45,383.35","₹ 44,812.15","₹ 45,156.40","₹ 45,156.40",179100
11-09-23,"₹ 45,340.80","₹ 45,636.20","₹ 45,231.30","₹ 45,570.70","₹ 45,570.70",228100
12-09-23,"₹ 45,893.80","₹ 45,893.80","₹ 45,322.55","₹ 45,511.35","₹ 45,511.35",271400
13-09-23,"₹ 45,449.35","₹ 45,990.50","₹ 45,299.40","₹ 45,909.45","₹ 45,909.45",441700
14-09-23,"₹ 46,013.30","₹ 46,153.90","₹ 45,801.50","₹ 46,000.85","₹ 46,000.85",238600
15-09-23,"₹ 46,122.15","₹ 46,310.40","₹ 46,028.75","₹ 46,231.50","₹ 46,231.50",278400
18-09-23,"₹ 46,100.95","₹ 46,252.95","₹ 45,906.90","₹ 45,979.85","₹ 45,979.85",348800
20-09-23,"₹ 45,493.70","₹ 45,745.15","₹ 45,276.40","₹ 45,384.60","₹ 45,384.60",334000
21-09-23,"₹ 45,179.60","₹ 45,276.80","₹ 44,592.45","₹ 44,623.85","₹ 44,623.85",257700
22-09-23,"₹ 44,707.35","₹ 44,996.75","₹ 44,548.90","₹ 44,612.05","₹ 44,612.05",249400
25-09-23,"₹ 44,615.00","₹ 44,936.55","₹ 44,400.90","₹ 44,766.10","₹ 44,766.10",266500
26-09-23,"₹ 44,722.50","₹ 44,773.80","₹ 44,532.45","₹ 44,624.20","₹ 44,624.20",188500
27-09-23,"₹ 44,465.90","₹ 44,668.00","₹ 44,182.50","₹ 44,588.30","₹ 44,588.30",221900
28-09-23,"₹ 44,700.35","₹ 44,756.80","₹ 44,248.20","₹ 44,300.95","₹ 44,300.95",389900
29-09-23,"₹ 44,445.35","₹ 44,755.05","₹ 44,344.90","₹ 44,584.55","₹ 44,584.55",156000
03-10-23,"₹ 44,561.50","₹ 44,566.30","₹ 44,243.10","₹ 44,399.05","₹ 44,399.05",192600
04-10-23,"₹ 44,108.15","₹ 44,161.35","₹ 43,857.50","₹ 43,964.05","₹ 43,964.05",310300
05-10-23,"₹ 44,181.35","₹ 44,391.85","₹ 44,108.30","₹ 44,213.35","₹ 44,213.35",243400
06-10-23,"₹ 44,395.40","₹ 44,500.70","₹ 44,242.95","₹ 44,360.60","₹ 44,360.60",157500
09-10-23,"₹ 44,057.80","₹ 44,113.20","₹ 43,796.75","₹ 43,886.50","₹ 43,886.50",162300
10-10-23,"₹ 44,027.55","₹ 44,487.25","₹ 44,004.55","₹ 44,360.15","₹ 44,360.15",175300
11-10-23,"₹ 44,554.90","₹ 44,710.55","₹ 44,411.40","₹ 44,516.90","₹ 44,516.90",213700
12-10-23,"₹ 44,571.55","₹ 44,693.05","₹ 44,530.05","₹ 44,599.20","₹ 44,599.20",112100
13-10-23,"₹ 44,322.05","₹ 44,563.05","₹ 44,203.70","₹ 44,287.95","₹ 44,287.95",169900
16-10-23,"₹ 44,204.75","₹ 44,356.95","₹ 44,044.40","₹ 44,225.90","₹ 44,225.90",140400
17-10-23,"₹ 44,589.80","₹ 44,589.85","₹ 44,336.95","₹ 44,409.50","₹ 44,409.50",120500
18-10-23,"₹ 44,404.20","₹ 44,412.50","₹ 43,861.45","₹ 43,888.70","₹ 43,888.70",217200
